"Timestamp","Roll_No","Gender","Platform","Category","Priority","Frequency","Peer_Influence","Returns","Monthly_Spend","Discount_Importance","Payment_Method","Recommendation_Helpfulness","Timestamp_Clean"
"2025/08/31 12:29:07 am","102315148","Female","Amazon","Fashion","Balanced (both brand and cost)","Only during festive periods","Sometimes","Yes, due to size/fit issue","₹0–₹1,000","High importance","UPI","Somewhat helpful",2025-08-31 00:29:07
"2025/08/31 9:42:19 am","6264","Female","Amazon","Fashion","Balanced (both brand and cost)","Monthly","Sometimes","Yes, due to size/fit issue","₹0–₹1,000","High importance","UPI","Somewhat helpful",2025-08-31 09:42:19
"2025/08/31 9:43:01 am",NA,"Female","Myntra","Fashion","Depends on product category","Rarely","Rarely","Yes, due to size/fit issue","₹0–₹1,000","High importance","UPI","Very helpful",2025-08-31 09:43:01
"2025/08/31 9:44:40 am",NA,"Female","Amazon","Fashion","Balanced (both brand and cost)","Only during festive periods","Sometimes","Yes, due to size/fit issue","₹0–₹1,000","High importance","Card (Debit/Credit)","Neutral",2025-08-31 09:44:40
"2025/08/31 11:27:51 am","250018","Female","Myntra","Fashion","Depends on product category","Monthly","Sometimes","Yes, due to size/fit issue","₹0–₹1,000","High importance","UPI","Somewhat helpful",2025-08-31 11:27:51
"2025/08/31 12:10:42 pm","24/BD/21","Female","Amazon","Books/Stationary","Balanced (both brand and cost)","Monthly","Rarely","Yes, due to defective/damaged product","₹3,000–₹5,000","Medium importance","Cash on delivery (COD)","Somewhat helpful",2025-08-31 12:10:42
"2025/08/31 12:23:09 pm",NA,"Female","Amazon","Electronics/Gadgets","Depends on product category","Rarely","Sometimes","Yes, due to defective/damaged product","₹3,000–₹5,000","Low importance","Cash on delivery (COD)","Somewhat helpful",2025-08-31 12:23:09
"2025/08/31 12:24:56 pm","3376803123","Male","Myntra","Fashion","Balanced (both brand and cost)","Weekly","Rarely","Yes, due to size/fit issue","₹0–₹1,000","High importance","UPI","Somewhat helpful",2025-08-31 12:24:56
"2025/08/31 12:25:26 pm","23110064","Female","Myntra","Fashion","Balanced (both brand and cost)","Rarely","Rarely","Yes, due to size/fit issue","₹0–₹1,000","High importance","UPI","Very helpful",2025-08-31 12:25:26
"2025/08/31 12:27:32 pm","143","Male","Amazon","Electronics/Gadgets","Balanced (both brand and cost)","Only during festive periods","Sometimes","Yes, due to defective/damaged product","₹0–₹1,000","High importance","UPI","Very helpful",2025-08-31 12:27:32
"2025/08/31 12:28:33 pm","23117023","Female","Flipkart","Fashion","Cost- focused","Monthly","Yes, often","Yes, due to size/fit issue","₹1,000–₹3,000","Medium importance","UPI","Very helpful",2025-08-31 12:28:33
